"CONTIG","MB.VERYSENSTIVE","MB.SENSITIVE","MB.SUPERSPECIFIC","CORRELATION_ABUNDANCIES","KMEANS_ABUNDANCIES_90"
"A_C_D_contig_10440",0,0,0,3,32
"A_C_D_contig_10441",82,89,103,8,34
"A_C_D_contig_10442",69,69,86,3,31
"A_C_D_contig_10443",0,0,0,2,39
"A_C_D_contig_10444",0,0,0,3,24
"A_C_D_contig_10445",0,60,73,3,15
"A_C_D_contig_10446",0,0,0,5,89
"A_C_D_contig_10447",0,0,0,3,60
"A_C_D_contig_10448",40,39,46,2,88
"A_C_D_contig_10449",50,61,69,8,7
"A_C_D_contig_1045",0,0,0,5,41
"A_C_D_contig_10450",0,0,0,5,73
"A_C_D_contig_10451",0,0,0,1,84
"A_C_D_contig_10452",6,6,8,6,75
"A_C_D_contig_10453",54,51,63,6,54
"A_C_D_contig_10454",6,6,8,6,65
"A_C_D_contig_10455",0,0,0,1,62
"A_C_D_contig_10456",15,17,20,4,29
"A_C_D_contig_10457",0,0,0,2,58
"A_C_D_contig_10458",0,0,0,2,9
"A_C_D_contig_10459",43,44,54,4,51
"A_C_D_contig_1046",0,0,0,2,28
"A_C_D_contig_10460",95,0,117,3,43
"A_C_D_contig_10461",51,48,62,6,19
"A_C_D_contig_10462",52,64,53,6,40
"A_C_D_contig_10463",0,0,0,5,41
"A_C_D_contig_10464",0,0,0,5,85
"A_C_D_contig_10465",0,0,0,2,88
"A_C_D_contig_10466",0,0,0,8,22
"A_C_D_contig_10467",0,0,0,3,58
"A_C_D_contig_10468",71,0,0,3,24
"A_C_D_contig_10469",79,83,97,5,27
"A_C_D_contig_1047",25,0,0,8,85
"A_C_D_contig_10470",0,0,0,6,86
"A_C_D_contig_10471",0,0,0,6,19
"A_C_D_contig_10472",0,0,0,2,48
"A_C_D_contig_10473",0,0,0,5,53
"A_C_D_contig_10474",0,0,0,2,48
"A_C_D_contig_10475",74,82,102,2,52
"A_C_D_contig_10476",49,0,60,6,54
"A_C_D_contig_10477",0,0,0,5,86
"A_C_D_contig_10478",87,95,118,3,33
"A_C_D_contig_10479",0,0,0,8,25
"A_C_D_contig_1048",47,0,53,5,89
"A_C_D_contig_10480",0,0,0,2,74
"A_C_D_contig_10481",51,48,62,6,19
"A_C_D_contig_10482",68,78,87,3,20
"A_C_D_contig_10483",0,0,0,6,19
"A_C_D_contig_10484",0,0,0,8,25
"A_C_D_contig_10485",0,0,0,8,33
"A_C_D_contig_10486",79,83,97,5,27
"A_C_D_contig_10487",0,0,0,7,29
"A_C_D_contig_10488",24,25,36,6,46
"A_C_D_contig_10489",47,46,53,5,46
"A_C_D_contig_1049",79,83,97,5,42
"A_C_D_contig_10490",0,0,0,5,86
"A_C_D_contig_10491",69,0,0,2,52
"A_C_D_contig_10492",50,41,49,8,88
"A_C_D_contig_10493",0,0,0,6,61
"A_C_D_contig_10494",50,61,69,8,7
"A_C_D_contig_10495",87,95,118,8,22
"A_C_D_contig_10496",79,83,97,5,8
"A_C_D_contig_10497",52,49,77,6,71
"A_C_D_contig_10498",0,0,0,1,78
"A_C_D_contig_10499",28,37,47,5,46
"A_C_D_contig_105",6,6,8,6,2
"A_C_D_contig_1050",2,6,4,6,2
"A_C_D_contig_10500",29,29,37,1,3
"A_C_D_contig_10501",56,56,71,2,58
"A_C_D_contig_10502",37,36,44,5,1
"A_C_D_contig_10503",57,60,73,3,15
"A_C_D_contig_10504",53,57,68,1,84
"A_C_D_contig_10505",0,0,0,2,74
"A_C_D_contig_10506",93,101,116,6,6
"A_C_D_contig_10507",0,0,0,2,35
"A_C_D_contig_10508",56,56,71,2,31
"A_C_D_contig_10509",0,0,0,7,3
"A_C_D_contig_1051",60,74,80,2,31
"A_C_D_contig_10510",79,83,97,5,27
"A_C_D_contig_10511",74,76,89,2,34
"A_C_D_contig_10512",0,0,0,6,46
"A_C_D_contig_10513",61,65,76,3,15
"A_C_D_contig_10514",0,0,0,5,46
"A_C_D_contig_10515",0,0,0,6,61
"A_C_D_contig_10516",0,0,0,2,48
"A_C_D_contig_10517",51,53,64,6,90
