"contig","metabat.1","metabat.4"
"contig_10870",0,0
"contig_10871",20,20
"contig_10872",0,0
"contig_10873",0,0
"contig_10874",0,0
"contig_10875",23,22
"contig_10876",0,0
"contig_10877",0,0
"contig_10878",0,0
"contig_10879",19,19
"contig_1088",0,0
"contig_10880",0,0
"contig_10881",23,22
"contig_10882",11,11
"contig_10883",31,32
"contig_10884",0,0
"contig_10885",0,0
"contig_10886",0,0
"contig_10887",0,0
"contig_10888",20,20
"contig_10889",20,20
"contig_1089",9,10
"contig_10890",0,0
"contig_10891",0,0
"contig_10892",23,22
"contig_10893",0,0
"contig_10894",26,26
"contig_10895",0,0
"contig_10896",0,0
"contig_10897",0,0
"contig_10898",0,0
"contig_10899",0,0
"contig_109",14,13
"contig_1090",2,2
"contig_10900",0,0
"contig_10901",0,0
"contig_10902",0,0
"contig_10903",10,9
"contig_10904",24,23
"contig_10905",20,20
"contig_10906",0,0
"contig_10907",20,20
"contig_10908",0,0
"contig_10909",0,0
"contig_1091",0,0
"contig_10910",0,0
"contig_10911",0,0
"contig_10912",32,0
"contig_10913",0,0
"contig_10914",0,0
"contig_10915",0,0
"contig_10916",0,0
"contig_10917",0,0
"contig_10918",0,0
"contig_10919",0,0
"contig_1092",3,3
"contig_10920",0,0
"contig_10921",0,0
"contig_10922",0,0
"contig_10923",0,0
"contig_10924",19,19
"contig_10925",0,0
"contig_10926",0,0
"contig_10927",0,0
"contig_10928",0,0
"contig_10929",0,0
"contig_1093",0,2
"contig_10930",0,0
"contig_10931",31,32
"contig_10932",29,29
"contig_10933",0,0
"contig_10934",20,20
"contig_10935",0,0
"contig_10936",11,11
"contig_10937",18,16
"contig_10938",0,0
"contig_10939",0,0
"contig_1094",2,2
"contig_10940",0,0
"contig_10941",0,0
"contig_10942",0,0
"contig_10943",0,0
"contig_10944",24,23
"contig_10945",0,0
"contig_10946",0,0
"contig_10947",0,0
"contig_10948",0,0
"contig_10949",32,0
"contig_1095",2,2
"contig_10950",0,0
"contig_10951",0,0
"contig_10952",26,26
"contig_10953",0,0
"contig_10954",0,0
"contig_10955",0,0
"contig_10956",0,0
"contig_10957",31,32
"contig_10958",26,26
"contig_10959",10,9
"contig_1096",0,0
"contig_10960",0,0
"contig_10961",0,0
"contig_10962",33,33
"contig_10963",24,23
"contig_10964",0,0
"contig_10965",0,0
"contig_10966",20,20
"contig_10967",0,0
"contig_10968",0,0
"contig_10969",0,0
"contig_1097",2,2
"contig_10970",0,0
"contig_10971",0,0
"contig_10972",0,0
"contig_10973",23,22
"contig_10974",11,11
"contig_10975",0,0
"contig_10976",32,0
"contig_10977",0,0
"contig_10978",0,0
"contig_10979",29,29
"contig_1098",3,3
"contig_10980",0,0
"contig_10981",19,19
"contig_10982",0,22
"contig_10983",20,20
"contig_10984",26,26
"contig_10985",0,0
"contig_10986",33,33
"contig_10987",0,0
"contig_10988",0,0
"contig_10989",32,0
"contig_1099",29,24
"contig_10990",0,0
"contig_10991",13,15
"contig_10992",10,9
"contig_10993",0,0
"contig_10994",0,0
"contig_10995",0,0
"contig_10996",33,33
"contig_10997",0,0
"contig_10998",0,0
"contig_10999",0,0
"contig_11",0,0
"contig_110",0,0
"contig_1100",9,10
"contig_11000",33,33
"contig_11001",23,22
"contig_11002",0,0
"contig_11003",29,29
"contig_11004",31,32
"contig_11005",0,0
"contig_11006",0,0
"contig_11007",0,0
"contig_11008",0,0
"contig_11009",33,33
"contig_1101",9,10
"contig_11010",0,0
"contig_11011",20,20
"contig_11012",0,0
"contig_11013",0,0
"contig_11014",0,0
"contig_11015",0,0
"contig_11016",0,0
"contig_11017",22,22
"contig_11018",0,0
"contig_11019",0,0
"contig_1102",3,3
"contig_11020",0,0
"contig_11021",0,0
"contig_11022",0,0
"contig_11023",0,0
"contig_11024",0,0
"contig_11025",23,22
"contig_11026",0,0
"contig_11027",0,0
"contig_11028",24,23
"contig_11029",0,0
"contig_1103",0,0
"contig_11030",0,0
"contig_11031",0,0
"contig_11032",0,0
"contig_11033",0,0
"contig_11034",23,22
"contig_11035",0,0
"contig_11036",0,0
"contig_11037",0,0
"contig_11038",0,0
"contig_11039",33,33
"contig_1104",1,1
"contig_11040",0,0
"contig_11041",0,0
"contig_11042",0,0
"contig_11043",0,0
"contig_11044",0,0
"contig_11045",0,0
"contig_11046",0,0
"contig_11047",0,30
"contig_11048",0,0
"contig_11049",0,0
"contig_1105",17,17
"contig_11050",33,33
"contig_11051",0,0
"contig_11052",0,0
"contig_11053",0,0
"contig_11054",0,0
"contig_11055",11,11
"contig_11056",19,19
"contig_11057",0,0
"contig_11058",0,0
"contig_11059",0,0
"contig_1106",19,19
"contig_11060",0,0
"contig_11061",0,0
"contig_11062",0,0
"contig_11063",24,23
"contig_11064",0,0
"contig_11065",11,11
"contig_11066",0,0
"contig_11067",0,0
"contig_11068",31,32
"contig_11069",0,0
"contig_1107",0,0
"contig_11070",0,0
"contig_11071",0,0
"contig_11072",0,0
"contig_11073",0,0
"contig_11074",23,22
"contig_11075",0,0
"contig_11076",0,0
"contig_11077",26,26
"contig_11078",0,0
"contig_11079",0,0
"contig_1108",29,29
"contig_11080",19,19
"contig_11081",0,0
"contig_11082",0,0
"contig_11083",0,0
"contig_11084",20,20
"contig_11085",0,0
"contig_11086",0,0
"contig_11087",0,0
"contig_11088",19,19
"contig_11089",0,0
"contig_1109",3,3
"contig_11090",0,0
"contig_11091",0,0
"contig_11092",0,0
"contig_11093",33,33
"contig_11094",0,0
"contig_11095",0,0
"contig_11096",0,0
"contig_11097",0,0
"contig_11098",0,0
"contig_11099",29,29
"contig_111",3,3
"contig_1110",0,0
"contig_11100",0,0
"contig_11101",0,0
"contig_11102",0,0
"contig_11103",0,0
"contig_11104",20,20
"contig_11105",0,0
"contig_11106",19,19
"contig_11107",0,0
"contig_11108",20,20
"contig_11109",33,33
"contig_1111",0,0
"contig_11110",0,0
"contig_11111",0,0
"contig_11112",0,0
"contig_11113",0,0
"contig_11114",0,0
"contig_11115",29,24
"contig_11116",0,0
"contig_11117",0,0
"contig_11118",0,0
"contig_11119",0,0
"contig_1112",0,0
"contig_11120",0,0
"contig_11121",26,26
"contig_11122",0,0
"contig_11123",0,0
"contig_11124",0,0
"contig_11125",0,0
"contig_11126",24,23
"contig_11127",31,32
"contig_11128",0,0
"contig_11129",0,0
"contig_1113",3,3
"contig_11130",0,0
"contig_11131",0,0
"contig_11132",0,0
"contig_11133",0,0
"contig_11134",0,0
"contig_11135",0,0
"contig_11136",0,20
"contig_11137",0,0
